PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40064631,Intraventricular mass in a 52-year-old woman.,2025 Mar 10,N/A,N/A,N/A
40064621,Adding New Components to a Composite Quality Metric: How Good Is Good Enough?,2025 Apr 1,N/A,N/A,N/A
40064612,Examining Farnesyltransferase Interaction With Cell-Permeable CaaX Peptides and the Role of the CaaX Motif in Biological Activity.,2025 Apr,N/A,N/A,N/A
40064606,Skin Cancers in People With Albinism: An Overview and Review of Literature.,2025 Mar 10,N/A,N/A,N/A
40064605,The Lives of Older People With Advanced Cancer Who Live Alone During Outpatient Cancer Chemotherapy: A Descriptive Qualitative Study.,2025 Mar,N/A,N/A,N/A
40064603,Causes of Monodactylous Onycholysis in a Diverse Patient Population.,2025 Mar 10,N/A,N/A,N/A
40064599,Diagnostic Performance of GPT-4o and Gemini Flash 2.0 in Acne and Rosacea.,2025 Mar 10,N/A,N/A,N/A
40064590,Mental Health Challenges in Cancer Survivors From Diverse Backgrounds During COVID-19 Pandemic: Insights From the All of Us Research Program.,2025 Mar,N/A,N/A,N/A
40064578,Advances of PET/CT in Target Delineation of Lung Cancer Before Radiation Therapy.,2025 Mar 9,N/A,N/A,N/A
40064574,Racial Diversity and Co-Mutational Analysis of Biologically Relevant Alterations in EGFR Mutant Lung Cancers.,2025 Feb 14,N/A,N/A,N/A
40064573,"The PESGA Trial: A Prospective, Open-Label, Single-Arm, Phase II Study to Evaluate First Line Therapy for Extensive-Stage Small Cell Lung Cancer (ES-SCLC) Patients, Treated by Induction Carboplatin/Etoposide/Pembrolizumab Followed by Maintenance of Pembrolizumab/ Sacituzumab Govitecan.",2025 Feb 13,N/A,N/A,N/A
40064572,Brief Report: Real-World Clinical Utility of Next-Generation Sequencing of Circulating Tumor DNA for Patients With Advanced Lung Squamous Cell Carcinoma (SQUIN).,2025 Feb 14,N/A,N/A,N/A
40064569,"Prevalence of homologous recombination deficiency among women with newly diagnosed ovarian, primary peritoneal, and/or fallopian tube cancer: the international HALO study.",2025 Jan 17,N/A,N/A,N/A
40064560,"Chinese Association of Ultrasound in Medicine and Engineering, Superficial Organs and Peripheral Vessels Committee Expert Consensus on Selected Common Clinical Issues in Parathyroid Ultrasound (2024 Edition).",2025 Mar 9,N/A,N/A,N/A
40064548,"Correction to ""Thieno[2,3-d]pyrimidine-2,4(1H,3H)-dione Derivative Inhibits d-Dopachrome Tautomerase Activity and Suppresses the Proliferation of Non-Small Cell Lung Cancer Cells"".",2025 Mar 10,N/A,N/A,N/A
40064543,Bone marrow mesenchymal stem cells improve bone cancer pain by inhibiting p38MAPK phosphorylation and microglia activation.,2025 Mar 11,N/A,N/A,N/A
40064521,Impact of Dietary Behavioural Changes on Prognosis of Postoperative Oesophageal Squamous Cell Carcinoma Patients: A Retrospective Cohort Study.,2025 Mar,N/A,N/A,N/A
40064495,Survey on the Use of Surgical Navigation for Endoscopic Sinus Surgery in the UK.,2025 Mar 10,N/A,N/A,N/A
40064489,[Sex-Based Differences and Shared Decision-Making in Myasthenia Gravis].,2025 Mar,N/A,N/A,N/A
40064481,Neoadjuvant treatment for incidental gallbladder cancer: A systematic review.,2025 Mar 11,N/A,N/A,N/A

